date, timestamp, heart_rate, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha1, artifacts_removed, steps, latitude, longitude
2023-11-08 10:20:19 +0000, 00:00:30, 106.444426, 563.674419, 48.648722, 17.742742, 2.380952, 0.051040, 0.023253, 2.194925,1.621408, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:20:49 +0000, 00:01:00, 111.129163, 539.912281, 14.594699, 6.330302, 0.000000, 0.004724, 0.009555, 0.494352,1.206492, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:21:19 +0000, 00:01:30, 109.447599, 548.207547, 17.572811, 6.826994, 0.000000, 0.012685, 0.004860, 2.609963,1.608666, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:21:49 +0000, 00:02:00, 107.681954, 557.196429, 16.697212, 8.395325, 0.000000, 0.003730, 0.005654, 0.659749,1.797674, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:22:19 +0000, 00:02:30, 109.846215, 546.218182, 18.335625, 7.064394, 0.000000, 0.009367, 0.016874, 0.555077,1.499069, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:22:49 +0000, 00:03:00, 110.743514, 541.792453, 12.518864, 5.205578, 0.000000, 0.007946, 0.003483, 2.281182,1.591803, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:23:19 +0000, 00:03:30, 111.667308, 537.310345, 17.269240, 6.521941, 0.000000, 0.012519, 0.013764, 0.909558,1.629595, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:23:49 +0000, 00:04:00, 111.631753, 537.481481, 12.179499, 5.475470, 0.000000, 0.012579, 0.007509, 1.675133,1.642369, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:24:19 +0000, 00:04:30, 111.947500, 535.965517, 17.139935, 6.411485, 0.000000, 0.006757, 0.006750, 1.001004,1.864687, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:24:49 +0000, 00:05:00, 112.314481, 534.214286, 10.184272, 6.631854, 0.000000, 0.009306, 0.008281, 1.123821,1.419907, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:25:19 +0000, 00:05:30, 114.726671, 522.982143, 14.705412, 4.795832, 0.000000, 0.012962, 0.007686, 1.686471,1.742096, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:25:49 +0000, 00:06:00, 120.197745, 499.177419, 10.467841, 3.834058, 0.000000, 0.005218, 0.005279, 0.988533,1.465110, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:26:19 +0000, 00:06:30, 123.323463, 486.525424, 13.140032, 2.756173, 0.000000, 0.005511, 0.003479, 1.584065,1.393588, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:26:49 +0000, 00:07:00, 124.093103, 483.507937, 6.768534, 3.619166, 0.000000, 0.004082, 0.006575, 0.620872,1.670630, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:27:19 +0000, 00:07:30, 125.236449, 479.093750, 8.765539, 3.436052, 0.000000, 0.003832, 0.004941, 0.775464,1.038087, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:27:49 +0000, 00:08:00, 126.272210, 475.163934, 5.788905, 3.673081, 0.000000, 0.004069, 0.003015, 1.349618,1.224674, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:28:19 +0000, 00:08:30, 126.168678, 475.553846, 11.325057, 4.294700, 0.000000, 0.008136, 0.006956, 1.169667,1.225856, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:28:49 +0000, 00:09:00, 126.715945, 473.500000, 6.205487, 3.260879, 0.000000, 0.004840, 0.004594, 1.053545,1.410859, 0.000000, 0.000000, 25.910072, -80.140422
2023-11-08 10:29:19 +0000, 00:09:30, 126.777569, 473.269841, 9.612842, 3.919267, 0.000000, 0.006002, 0.005375, 1.116594,1.469445, 0.000000, 0.000000, 25.910072, -80.140422
