date, timestamp, heart_rate, AVNN, SDNN, rMSSD, pNN50, LF, HF, LFHF, alpha1, artifacts_removed, steps, latitude, longitude
2024-04-25 09:24:03 +0000, 00:00:31, 87.910347, 682.513514, 41.896780, 19.348680, 2.777778, 0.050596, 0.021810, 2.319853,1.467288, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:24:33 +0000, 00:01:01, 90.437113, 663.444444, 21.954386, 14.643039, 0.000000, 0.019720, 0.012950, 1.522764,1.187960, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:25:03 +0000, 00:01:31, 89.409895, 671.066667, 27.037482, 20.789644, 0.000000, 0.026060, 0.020001, 1.302902,1.241667, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:25:33 +0000, 00:02:01, 93.080980, 644.600000, 40.423535, 23.724190, 2.272727, 0.049983, 0.044732, 1.117387,1.497345, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:26:03 +0000, 00:02:31, 102.893074, 583.129630, 24.833611, 7.077864, 0.000000, 0.011171, 0.008963, 1.246430,1.604029, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:26:33 +0000, 00:03:01, 106.258563, 564.660377, 11.884276, 5.842710, 0.000000, 0.005219, 0.008800, 0.593139,1.269713, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:27:03 +0000, 00:03:31, 111.422494, 538.490909, 13.661534, 4.797798, 0.000000, 0.007577, 0.010095, 0.750567,1.628525, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:27:33 +0000, 00:04:01, 109.253435, 549.181818, 6.813210, 5.095318, 0.000000, 0.006621, 0.004576, 1.446818,1.098805, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:28:03 +0000, 00:04:31, 113.530740, 528.491228, 16.516861, 4.820411, 0.000000, 0.015403, 0.005783, 2.663411,1.220370, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:28:33 +0000, 00:05:01, 112.823612, 531.803571, 9.438763, 5.310716, 0.000000, 0.004608, 0.006236, 0.738929,1.463297, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:29:03 +0000, 00:05:31, 111.579716, 537.732143, 14.691067, 6.183910, 0.000000, 0.012500, 0.009621, 1.299256,1.558159, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:29:33 +0000, 00:06:01, 115.880257, 517.775862, 17.916780, 12.098554, 1.754386, 0.018223, 0.005927, 3.074836,1.457084, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:30:03 +0000, 00:06:31, 122.995536, 487.822581, 12.810106, 4.676181, 0.000000, 0.011498, 0.005167, 2.225196,1.640233, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:30:33 +0000, 00:07:01, 128.029874, 468.640625, 6.909201, 3.621174, 0.000000, 0.000000, 0.000010, 0.000000,1.149730, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:31:03 +0000, 00:07:31, 130.408614, 460.092308, 8.871588, 3.470968, 0.000000, 0.003521, 0.004745, 0.742012,0.990054, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:31:33 +0000, 00:08:01, 130.930732, 458.257576, 9.055449, 4.508672, 0.000000, 0.007276, 0.007557, 0.962767,1.148826, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:32:03 +0000, 00:08:31, 133.234641, 450.333333, 12.139192, 6.717514, 0.000000, 0.000000, 0.000010, 0.000000,0.722742, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:32:33 +0000, 00:09:01, 134.316566, 446.705882, 6.250260, 3.507568, 0.000000, 0.003231, 0.004307, 0.750234,1.370751, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:33:03 +0000, 00:09:31, 132.211538, 453.818182, 9.011560, 3.414125, 0.000000, 0.000000, 0.000010, 0.000000,1.170358, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:33:33 +0000, 00:10:01, 129.371336, 463.781250, 10.829512, 5.262466, 0.000000, 0.007237, 0.003357, 2.156088,1.410998, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:34:03 +0000, 00:10:31, 131.474104, 456.363636, 10.423623, 3.375000, 0.000000, 0.001970, 0.003247, 0.606843,1.294952, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:34:33 +0000, 00:11:01, 131.478469, 456.348485, 14.628684, 7.598314, 0.000000, 0.020724, 0.020259, 1.022968,1.189492, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:35:03 +0000, 00:11:31, 139.925373, 428.800000, 11.163108, 3.131904, 0.000000, 0.003865, 0.004230, 0.913662,1.067719, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:35:33 +0000, 00:12:01, 144.631558, 414.847222, 4.140170, 3.112188, 0.000000, 0.000000, 0.000010, 0.000000,1.106288, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:36:03 +0000, 00:12:31, 144.917946, 414.027397, 7.604488, 2.729598, 0.000000, 0.001922, 0.003863, 0.497471,1.077041, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:36:33 +0000, 00:13:01, 147.758661, 406.067568, 5.463288, 2.318405, 0.000000, 0.001343, 0.002744, 0.489383,0.773197, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:37:03 +0000, 00:13:31, 142.441569, 421.225352, 9.388534, 3.526299, 0.000000, 0.000000, 0.000010, 0.000000,1.304033, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:37:33 +0000, 00:14:01, 140.510522, 427.014286, 2.999626, 3.145959, 0.000000, 0.000000, 0.000010, 0.000000,0.613858, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:38:03 +0000, 00:14:31, 136.903564, 438.264706, 8.522055, 3.133398, 0.000000, 0.005845, 0.004671, 1.251496,1.002437, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:38:33 +0000, 00:15:01, 139.271148, 430.814286, 5.429342, 3.425682, 0.000000, 0.000000, 0.000010, 0.000000,1.090174, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:24:03 +0000, 00:00:31, 87.910347, 682.513514, 41.896780, 19.348680, 2.777778, 0.050596, 0.021810, 2.319853,1.467288, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:24:33 +0000, 00:01:01, 90.437113, 663.444444, 21.954386, 14.643039, 0.000000, 0.019720, 0.012950, 1.522764,1.187960, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:25:03 +0000, 00:01:31, 89.409895, 671.066667, 27.037482, 20.789644, 0.000000, 0.026060, 0.020001, 1.302902,1.241667, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:25:33 +0000, 00:02:01, 93.080980, 644.600000, 40.423535, 23.724190, 2.272727, 0.049983, 0.044732, 1.117387,1.497345, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:26:03 +0000, 00:02:31, 102.893074, 583.129630, 24.833611, 7.077864, 0.000000, 0.011171, 0.008963, 1.246430,1.604029, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:26:33 +0000, 00:03:01, 106.258563, 564.660377, 11.884276, 5.842710, 0.000000, 0.005219, 0.008800, 0.593139,1.269713, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:27:03 +0000, 00:03:31, 111.422494, 538.490909, 13.661534, 4.797798, 0.000000, 0.007577, 0.010095, 0.750567,1.628525, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:27:33 +0000, 00:04:01, 109.253435, 549.181818, 6.813210, 5.095318, 0.000000, 0.006621, 0.004576, 1.446818,1.098805, 0.000000, 0.000000, 25.910308, -80.140546
2024-04-25 09:28:03 +0000, 00:04:31, 113.530740, 528.491228, 16.516861, 4.820411, 0.000000, 0.015403, 0.005783, 2.663411,1.220370, 0.000000, 0.000000, 25.910308, -80.140546
